ID,Date-Time,Channel,Action,Movie Title,Viewerships
Cost,N/A,N/A,Total Cost,N/A,28352577.53
2024-10-05 07:00:00_Own Channel_Advertise Movie,2024-10-05 07:00:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 07:00:00_Own Channel_Show Movie,2024-10-05 07:00:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 07:30:00_Own Channel_Advertise Movie,2024-10-05 07:30:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 07:30:00_Own Channel_Show Movie,2024-10-05 07:30:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 08:00:00_Own Channel_Advertise Movie,2024-10-05 08:00:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 08:00:00_Own Channel_Show Movie,2024-10-05 08:00:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 08:30:00_Own Channel_Advertise Movie,2024-10-05 08:30:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 09:00:00_Own Channel_Advertise Movie,2024-10-05 09:00:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 09:00:00_Own Channel_Show Movie,2024-10-05 09:00:00,Own Channel,Show Movie,Ant-Man and the Wasp: Quantumania,
2024-10-05 09:30:00_Own Channel_Advertise Movie,2024-10-05 09:30:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 09:30:00_Own Channel_Show Movie,2024-10-05 09:30:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-05 10:00:00_Own Channel_Show Movie,2024-10-05 10:00:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-05 10:00:00_Own Channel_Sell Adslot,2024-10-05 10:00:00,Own Channel,Sell Adslot,,37624
2024-10-05 10:30:00_Own Channel_Advertise Movie,2024-10-05 10:30:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 10:30:00_Own Channel_Show Movie,2024-10-05 10:30:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-05 11:00:00_Own Channel_Advertise Movie,2024-10-05 11:00:00,Own Channel,Advertise Movie,Pirates of the Caribbean: At World's End,
2024-10-05 11:00:00_Own Channel_Show Movie,2024-10-05 11:00:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-05 11:30:00_Own Channel_Show Movie,2024-10-05 11:30:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-05 11:30:00_Own Channel_Sell Adslot,2024-10-05 11:30:00,Own Channel,Sell Adslot,,54381
2024-10-05 12:00:00_Own Channel_Advertise Movie,2024-10-05 12:00:00,Own Channel,Advertise Movie,Pirates of the Caribbean: At World's End,
2024-10-05 12:00:00_Own Channel_Show Movie,2024-10-05 12:00:00,Own Channel,Show Movie,Star Wars: The Rise of Skywalker,
2024-10-05 12:30:00_Own Channel_Show Movie,2024-10-05 12:30:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 12:30:00_Own Channel_Sell Adslot,2024-10-05 12:30:00,Own Channel,Sell Adslot,,75545
2024-10-05 13:00:00_Own Channel_Advertise Movie,2024-10-05 13:00:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 13:00:00_Own Channel_Show Movie,2024-10-05 13:00:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 13:30:00_Own Channel_Advertise Movie,2024-10-05 13:30:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 13:30:00_Own Channel_Show Movie,2024-10-05 13:30:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 14:00:00_Own Channel_Advertise Movie,2024-10-05 14:00:00,Own Channel,Advertise Movie,Pirates of the Caribbean: At World's End,
2024-10-05 14:00:00_Own Channel_Show Movie,2024-10-05 14:00:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 14:30:00_Own Channel_Show Movie,2024-10-05 14:30:00,Own Channel,Show Movie,Thor: Love and Thunder,
2024-10-05 14:30:00_Own Channel_Sell Adslot,2024-10-05 14:30:00,Own Channel,Sell Adslot,,118151
2024-10-05 15:00:00_Own Channel_Advertise Movie,2024-10-05 15:00:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
2024-10-05 15:00:00_Own Channel_Show Movie,2024-10-05 15:00:00,Own Channel,Show Movie,Pirates of the Caribbean: Dead Man's Chest,
2024-10-05 15:30:00_Own Channel_Advertise Movie,2024-10-05 15:30:00,Own Channel,Advertise Movie,The Hobbit: An Unexpected Journey,
